timestamp,direction,force,z,displacement,testno
1724836866.955432,UP,0.086,inf,inf,3
1724836867.056493,UP,0.086,inf,inf,3
1724836867.153354,UP,0.085,inf,inf,3
1724836867.257526,UP,0.077,inf,inf,3
1724836867.353547,UP,0.079,inf,inf,3
1724836867.448886,UP,0.081,inf,inf,3
1724836867.5613801,UP,0.084,inf,inf,3
1724836867.657464,UP,0.086,inf,inf,3
1724836867.749957,UP,0.087,inf,inf,3
1724836867.849429,UP,0.089,inf,inf,3
1724836867.9676402,UP,0.09,inf,inf,3
1724836868.057483,UP,0.092,inf,inf,3
1724836868.153447,UP,0.092,inf,inf,3
1724836868.255597,UP,0.04,inf,inf,3
1724836868.367711,UP,-0.032,inf,inf,3
1724836875.236114,DOWN,-0.007,0,0,4
1724836875.3526368,DOWN,-0.014,inf,inf,4
1724836875.4486341,DOWN,-0.015,inf,inf,4
1724836875.560552,DOWN,-0.019,inf,inf,4
1724836875.6621141,DOWN,-0.028,inf,inf,4
1724836875.752647,DOWN,-0.037,inf,inf,4
1724836875.8484778,DOWN,-0.045,inf,inf,4
1724836875.959317,DOWN,-0.051,inf,inf,4
1724836876.0566368,DOWN,-0.056,inf,inf,4
1724836876.151573,DOWN,-0.061,inf,inf,4
1724836876.2548218,DOWN,-0.065,inf,inf,4
1724836876.351223,DOWN,-0.07,inf,inf,4
1724836876.453717,DOWN,-0.075,inf,inf,4
1724836876.544954,DOWN,-0.079,inf,inf,4
1724836876.660567,DOWN,-0.082,inf,inf,4
1724836876.756644,DOWN,-0.085,inf,inf,4
1724836876.852639,DOWN,-0.088,inf,inf,4
1724836876.954844,DOWN,-0.091,inf,inf,4
1724836877.060569,DOWN,-0.093,inf,inf,4
1724836877.156595,DOWN,-0.095,inf,inf,4
1724836877.2520902,DOWN,-0.098,inf,inf,4
1724836877.347497,DOWN,-0.1,inf,inf,4
1724836877.466859,DOWN,-0.102,inf,inf,4
1724836877.556648,DOWN,-0.103,inf,inf,4
1724836877.665181,DOWN,-0.105,inf,inf,4
1724836877.748649,DOWN,-0.107,inf,inf,4
1724836877.860553,DOWN,-0.108,inf,inf,4
1724836877.952037,DOWN,-0.11,inf,inf,4
1724836878.052587,DOWN,-0.111,inf,inf,4
1724836878.148662,DOWN,-0.112,inf,inf,4
1724836878.260632,DOWN,-0.113,inf,inf,4
1724836878.356549,DOWN,-0.114,inf,inf,4
1724836878.4557261,DOWN,-0.115,inf,inf,4
